============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [13:42:19] 资金=¥2, 持仓=2
  [13:42:25] 资金=¥2, 持仓=2
  [13:42:30] 资金=¥2, 持仓=2
  [13:42:35] 资金=¥2, 持仓=2
  [13:42:40] 资金=¥2, 持仓=2
  [13:42:46] 资金=¥2, 持仓=2
  [13:42:51] 资金=¥2, 持仓=2
  [13:42:56] 资金=¥2, 持仓=2
  [13:43:02] 资金=¥2, 持仓=2
  [13:43:07] 资金=¥2, 持仓=2
  [13:43:12] 资金=¥2, 持仓=2
  [13:43:18] 资金=¥2, 持仓=2
  [13:43:23] 资金=¥2, 持仓=2
  [13:43:28] 资金=¥2, 持仓=2
  [13:43:34] 资金=¥2, 持仓=2
  [13:43:39] 资金=¥2, 持仓=2
  [13:43:45] 资金=¥2, 持仓=2
  [13:43:50] 资金=¥2, 持仓=2
  [13:43:56] 资金=¥2, 持仓=2
  [13:44:01] 资金=¥2, 持仓=2
  [13:44:07] 资金=¥2, 持仓=2
  [13:44:12] 资金=¥2, 持仓=2
  [13:44:17] 资金=¥2, 持仓=2
  [13:44:23] 资金=¥2, 持仓=2
  [13:44:28] 资金=¥2, 持仓=2
  [13:44:33] 资金=¥2, 持仓=2
  [13:44:39] 资金=¥2, 持仓=2
  [13:44:44] 资金=¥2, 持仓=2
  [13:44:50] 资金=¥2, 持仓=2
  [13:44:55] 资金=¥2, 持仓=2
  [13:45:01] 资金=¥2, 持仓=2
  [13:45:06] 资金=¥2, 持仓=2
  [13:45:11] 资金=¥2, 持仓=2
  [13:45:16] 资金=¥2, 持仓=2
  [13:45:22] 资金=¥2, 持仓=2
  [13:45:27] 资金=¥2, 持仓=2
  [13:45:32] 资金=¥2, 持仓=2
  [13:45:38] 资金=¥2, 持仓=2
  [13:45:43] 资金=¥2, 持仓=2
  [13:45:48] 资金=¥2, 持仓=2
  [13:45:54] 资金=¥2, 持仓=2
  [13:45:59] 资金=¥2, 持仓=2
  [13:46:04] 资金=¥2, 持仓=2
  [13:46:09] 资金=¥2, 持仓=2
  [13:46:14] 资金=¥2, 持仓=2
  [13:46:20] 资金=¥2, 持仓=2
  [13:46:25] 资金=¥2, 持仓=2
  [13:46:30] 资金=¥2, 持仓=2
  [13:46:36] 资金=¥2, 持仓=2
  [13:46:41] 资金=¥2, 持仓=2
  [13:46:47] 资金=¥2, 持仓=2
  [13:46:52] 资金=¥2, 持仓=2
  [13:46:58] 资金=¥2, 持仓=2
  [13:47:03] 资金=¥2, 持仓=2
  [13:47:08] 资金=¥2, 持仓=2
  [13:47:14] 资金=¥2, 持仓=2
  [13:47:19] 资金=¥2, 持仓=2
  [13:47:24] 资金=¥2, 持仓=2
  [13:47:30] 资金=¥2, 持仓=2
  [13:47:35] 资金=¥2, 持仓=2
  [13:47:40] 资金=¥2, 持仓=2
  [13:47:45] 资金=¥2, 持仓=2
  [13:47:51] 资金=¥2, 持仓=2
  [13:47:56] 资金=¥2, 持仓=2
  [13:48:01] 资金=¥2, 持仓=2
  [13:48:06] 资金=¥2, 持仓=2
  [13:48:12] 资金=¥2, 持仓=2
